Poles, Width, Points, Ratio
Run 254: (10, 0.01, 62, 0.07371052631578948)
Run 255: (10, 0.01, 62, 0.07896842105263159)
Run 256: (10, 0.01, 62, 0.08422631578947369)
Run 257: (10, 0.01, 62, 0.08948421052631579)
Run 258: (10, 0.01, 62, 0.0947421052631579)
Run 259: (10, 0.01, 62, 0.1)
Run 260: (10, 0.01, 67, 0.0001)
Run 261: (10, 0.01, 67, 0.005357894736842106)
Run 262: (10, 0.01, 67, 0.01061578947368421)
Run 263: (10, 0.01, 67, 0.015873684210526314)
Run 264: (10, 0.01, 67, 0.02113157894736842)
Run 265: (10, 0.01, 67, 0.02638947368421053)
Run 266: (10, 0.01, 67, 0.03164736842105263)
Run 267: (10, 0.01, 67, 0.03690526315789474)
Run 268: (10, 0.01, 67, 0.04216315789473685)
Run 269: (10, 0.01, 67, 0.047421052631578954)
Run 270: (10, 0.01, 67, 0.05267894736842106)
Run 271: (10, 0.01, 67, 0.05793684210526316)
Run 272: (10, 0.01, 67, 0.06319473684210526)
Run 273: (10, 0.01, 67, 0.06845263157894738)
Run 274: (10, 0.01, 67, 0.07371052631578948)
Run 275: (10, 0.01, 67, 0.07896842105263159)
Run 276: (10, 0.01, 67, 0.08422631578947369)
Run 277: (10, 0.01, 67, 0.08948421052631579)
Run 278: (10, 0.01, 67, 0.0947421052631579)
Run 279: (10, 0.01, 67, 0.1)
Run 280: (10, 0.01, 72, 0.0001)
Run 281: (10, 0.01, 72, 0.005357894736842106)
Run 282: (10, 0.01, 72, 0.01061578947368421)
Run 283: (10, 0.01, 72, 0.015873684210526314)
Run 284: (10, 0.01, 72, 0.02113157894736842)
Run 285: (10, 0.01, 72, 0.02638947368421053)
Run 286: (10, 0.01, 72, 0.03164736842105263)
Run 287: (10, 0.01, 72, 0.03690526315789474)
Run 288: (10, 0.01, 72, 0.04216315789473685)
Run 289: (10, 0.01, 72, 0.047421052631578954)
Run 290: (10, 0.01, 72, 0.05267894736842106)
Run 291: (10, 0.01, 72, 0.05793684210526316)
Run 292: (10, 0.01, 72, 0.06319473684210526)
Run 293: (10, 0.01, 72, 0.06845263157894738)
Run 294: (10, 0.01, 72, 0.07371052631578948)
Run 295: (10, 0.01, 72, 0.07896842105263159)
Run 296: (10, 0.01, 72, 0.08422631578947369)
Run 297: (10, 0.01, 72, 0.08948421052631579)
Run 298: (10, 0.01, 72, 0.0947421052631579)
Run 299: (10, 0.01, 72, 0.1)
Run 300: (10, 0.01, 77, 0.0001)
Run 301: (10, 0.01, 77, 0.005357894736842106)
Run 302: (10, 0.01, 77, 0.01061578947368421)
Run 303: (10, 0.01, 77, 0.015873684210526314)
Run 304: (10, 0.01, 77, 0.02113157894736842)
Run 305: (10, 0.01, 77, 0.02638947368421053)
Run 306: (10, 0.01, 77, 0.03164736842105263)
Run 307: (10, 0.01, 77, 0.03690526315789474)
Run 308: (10, 0.01, 77, 0.04216315789473685)
Run 309: (10, 0.01, 77, 0.047421052631578954)
Run 310: (10, 0.01, 77, 0.05267894736842106)
Run 311: (10, 0.01, 77, 0.05793684210526316)
Run 312: (10, 0.01, 77, 0.06319473684210526)
Run 313: (10, 0.01, 77, 0.06845263157894738)
Run 314: (10, 0.01, 77, 0.07371052631578948)
Run 315: (10, 0.01, 77, 0.07896842105263159)
Run 316: (10, 0.01, 77, 0.08422631578947369)
